"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"Theo Bair","ca CAN","FW,MF","Vancouver",19,17,"823",2,2,1,0.22,0.22,0.44,1.7,0.7,0.19,0.07,13,1.42,12,0,2,0.22,2,0,304,133,7,13,53.8,7,0
"Thomas McNamara","us USA","MF,FW","Houston",27,33,"1,530",2,3,3,0.12,0.18,0.29,2.1,1.6,0.12,0.09,41,2.41,38,0,4,0.24,4,0,701,306,9,19,47.4,10,0
"Tom Barlow","us USA","FW","NY Red Bulls",23,12,"605",3,0,0,0.45,0,0.45,3.5,0.4,0.52,0.06,11,1.64,9,0,1,0.15,1,0,188,100,2,3,66.7,2,0
"Tomás Conechny","ar ARG","FW,MF","Portland",20,16,"345",1,2,2,0.26,0.52,0.78,1.2,1.7,0.31,0.44,15,3.91,11,1,4,1.04,3,0,288,159,9,20,45,9,0
"Tomás Martínez","ar ARG","MF,FW","Houston",23,33,"2,330",5,2,2,0.19,0.08,0.27,3.5,2.7,0.14,0.1,94,3.63,69,3,13,0.5,10,1,1396,624,41,76,53.9,43,5
"Tommy Smith","nz NZL","DF","Colorado",28,27,"2,414",3,2,3,0.11,0.07,0.19,3.2,0.4,0.12,0.01,15,0.56,12,1,5,0.19,3,0,1097,65,3,3,100,3,0
"Tommy Thompson","us USA","DF","San Jose",23,30,"2,296",2,1,7,0.08,0.04,0.12,0.5,1.4,0.02,0.05,60,2.35,43,4,8,0.31,5,1,1726,477,45,68,66.2,51,1
"Tosaint Ricketts","ca CAN","FW","Vancouver",31,8,"482",1,1,1,0.19,0.19,0.37,2.2,0.2,0.41,0.03,11,2.05,11,0,2,0.37,2,0,127,64,4,5,80,4,0
"Tristan Blackmon","us USA","DF","Los Angeles FC",22,18,"1,377",1,4,3,0.07,0.26,0.33,0.7,1.5,0.05,0.1,27,1.76,22,1,5,0.33,5,0,1157,215,15,23,65.2,16,0
"Tsubasa Endoh","jp JPN","FW,MF","Toronto FC",25,13,"880",3,2,1,0.31,0.2,0.51,1.8,1.2,0.18,0.13,20,2.05,14,6,3,0.31,3,0,424,250,9,13,69.2,9,0
"Ulises Segura","cr CRC","FW,DF","D.C. United",25,33,"1,788",3,2,1,0.15,0.1,0.25,2.8,2.4,0.14,0.12,38,1.91,26,0,3,0.15,1,0,1020,391,43,66,65.2,43,3
"Uriel Antuna","mx MEX","FW,MF","LA Galaxy",21,31,"2,429",6,5,1,0.22,0.19,0.41,8.9,4.3,0.33,0.16,67,2.48,54,0,9,0.33,5,0,1121,704,40,80,50,47,1
"Valentín Castellanos","ar ARG","FW","NYCFC",20,30,"2,054",11,6,7,0.48,0.26,0.74,7,3.1,0.32,0.14,69,3.13,49,0,14,0.64,7,0,855,507,34,55,61.8,36,6
"Valeri Qazaishvili","ge GEO","FW,MF","San Jose",26,32,"2,097",8,5,1,0.34,0.21,0.56,7,3.2,0.3,0.14,110,4.72,68,0,14,0.6,7,0,1254,668,110,144,76.4,114,2
"Víctor Cabrera","ar ARG","DF","Montreal",25,16,"1,178",0,0,2,0,0,0,0.3,0.1,0.02,0,5,0.38,5,0,1,0.08,1,0,950,43,7,12,58.3,9,0
"Víctor Rodríguez","es ESP","FW,MF","Seattle",29,17,"1,126",2,3,1,0.16,0.24,0.4,3.1,3.2,0.25,0.26,46,3.68,36,2,8,0.64,5,0,763,422,20,46,43.5,23,1
"Victor Ulloa","us USA","MF","FC Cincinnati",26,26,"1,945",1,1,4,0.05,0.05,0.09,0.4,1.6,0.02,0.08,38,1.76,30,7,2,0.09,1,1,1353,255,11,24,45.8,13,1
"Vincent Bezecourt","fr FRA","MF","NY Red Bulls",25,8,"453",0,0,0,0,0,0,0.3,0.4,0.07,0.08,11,2.19,9,1,1,0.2,1,0,212,119,4,8,50,4,0
"Walker Zimmerman","us USA","DF","Los Angeles FC",25,25,"2,168",1,0,8,0.04,0,0.04,1.2,0.3,0.05,0.01,16,0.66,14,0,1,0.04,1,0,1573,82,7,12,58.3,8,0
"Warren Creavalle","us USA","MF","Philadelphia",28,13,"364",0,1,0,0,0.25,0.25,0,0.7,0.01,0.16,13,3.21,10,0,2,0.49,2,0,191,51,4,4,100,4,0
"Waylon Francis","cr CRC","DF","Columbus",28,17,"1,383",0,0,3,0,0,0,0.1,0.6,0.01,0.04,12,0.78,9,1,2,0.13,1,0,989,272,5,8,62.5,6,0
"Wayne Rooney","eng ENG","FW","D.C. United",33,28,"2,319",11,7,5,0.43,0.27,0.7,11.6,6.4,0.45,0.25,128,4.97,64,47,13,0.5,6,4,1417,622,25,34,73.5,25,2
"Wilfried Zahibo","cf CTA","MF","New England",25,24,"1,505",1,1,8,0.06,0.06,0.12,1.3,0.4,0.08,0.03,25,1.5,20,0,3,0.18,2,0,982,136,14,23,60.9,17,0
"Will Bruin","us USA","FW","Seattle",29,9,"428",2,1,1,0.42,0.21,0.63,1.5,0,0.31,0.01,4,0.84,4,0,2,0.42,2,0,142,72,1,2,50,1,0
"Will Johnson","ca CAN","MF","Orlando City",32,21,"1,698",1,1,2,0.05,0.05,0.11,1.8,0.4,0.09,0.02,24,1.27,20,1,1,0.05,1,0,1097,235,10,11,90.9,10,0
"Yohan Croizet","fr FRA","FW,DF","Sporting KC",26,20,"1,091",3,1,4,0.25,0.08,0.33,2.1,0.7,0.18,0.06,29,2.39,18,3,4,0.33,3,0,602,263,32,51,62.7,37,2
"Yordy Reyna","pe PER","FW,MF","Vancouver",25,25,"1,990",7,1,5,0.32,0.05,0.36,4.8,2.8,0.22,0.13,77,3.48,48,8,6,0.27,2,1,989,488,49,87,56.3,53,3
"Youness Mokhtar","ma MAR","FW","Columbus",27,8,"442",1,0,1,0.2,0,0.2,1.1,1.5,0.23,0.3,19,3.87,13,3,2,0.41,1,0,245,106,9,19,47.4,11,2
"Zachary Brault-Guillard","ca CAN","DF","Montreal",20,13,"871",0,1,1,0,0.1,0.1,0.6,1.5,0.07,0.16,26,2.69,15,5,1,0.1,1,0,666,209,10,20,50,12,1
"Zakaria Diallo","fr FRA","DF","Montreal",32,24,"2,036",3,2,2,0.13,0.09,0.22,1.9,0.7,0.08,0.03,12,0.53,10,1,3,0.13,3,0,1528,57,11,14,78.6,12,1
"Zden?k Ondrášek","cz CZE","FW","FC Dallas",30,18,"747",7,2,2,0.84,0.24,1.08,4.5,1.3,0.54,0.16,22,2.65,17,0,4,0.48,2,0,258,136,3,5,60,5,0
"Zlatan Ibrahimovi?","se SWE","FW","LA Galaxy",37,29,"2,610",30,7,7,1.03,0.24,1.28,23.4,6.2,0.81,0.21,103,3.55,73,0,18,0.62,7,0,1340,850,25,42,59.5,26,0
